ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region
"Life, Liberty, and the Pursuit of Happiness for ALL?

We at Resist reflect on this nation’s promise to its citizens: the right to “life, liberty, and the pursuit of happiness.” A promise that has been broken time and time again as those most impacted by oppression are restricted to the margins of society - bereft of resources, options, and hope. And today is no different. 
 
Our worst fears are being realized.
 
Emboldened by Brett Kavanaugh’s confirmation, right-wing lawmakers are introducing anti-abortion legislature with the explicit goal of overturning Roe v. Wade… and denying all people of their reproductive rights. 

We knew this fight was coming. Which is why, thanks to you, our grantees are at clinics, schools, community centers, and in the streets fighting misinformation and prejudice at every turn.
 
Now we need you and every other Resister to express the full magnitude of your disgust and outrage today because the Trump agenda is as ugly as it gets. We need to raise $135,000 by July 31st to make sure that our grantees hold
strong in these hostile times; that they protect the rights of all people, especially those living on the edge.

You and I know that abortion bans and heartbeat bills have never been about “saving lives”—they’re about perpetuating systemic racism and sexism, and above all, control.
 
The United States is one of only 13 countries in the world where the maternal mortality rate is WORSE than it was 15 years ago, and Black women are four times more likely to die in childbirth than their white counterparts. Resist grantee Southern Birth Justice Network (1) refuses to be complacent. 

Through direct community outreach, popular education, and engaging storytelling, Southern Birth Justice Network is advocating for proper and comprehensive health care across the pregnancy spectrum, including abortion, miscarriage, prenatal, birth, and postpartum care. They provide teens and parents with alternative birthing options, midwifery, and doula care—vital tools for survival not found anywhere else in their community.

Southern Birth Justice Network is doing what policymakers won’t: protecting the people and families who need our help.
Help us stand with them.",2019-07-16T18:57:53+0000,Resist Inc.,0,99,10000,49999,0.003505,Alabama,0.042866,Pennsylvania,0.003505,Nevada,0.009099,New Hampshire,0.021096,New Jersey,0.009571,New Mexico,0.148076,New York,0.01348,North Carolina,0.001887,North Dakota,0.01867,Ohio,0.002089,Oklahoma,0.055402,Oregon,0.007751,Rhode Island,0.005662,Montana,0.003572,South Carolina,0.001887,South Dakota,0.00674,Tennessee,0.01348,Texas,0.003303,Utah,0.013143,Vermont,0.01476,Virginia,0.058031,Washington,0.002966,West Virginia,0.030397,Wisconsin,0.003437,Nebraska,0.007616,Missouri,0.009773,Alaska,0.00364,Idaho,0.008627,Arizona,0.002561,Arkansas,0.139786,California,0.013547,Colorado,0.024466,Connecticut,0.002359,Delaware,0.011997,"Washington, District of Columbia",0.01139,Florida,0.006268,Georgia,0.006942,Hawaii,0.047786,Illinois,0.002022,Mississippi,0.010851,Indiana,0.009031,Iowa,0.004044,Kansas,0.004583,Kentucky,0.003168,Louisiana,0.015704,Maine,0.016041,Maryland,0.078587,Massachusetts,0.035385,Michigan,0.02824,Minnesota,0.001213,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-16T12:51:47+0000,Goods For Glory,0,99,0,999,0.01833,Alabama,0.032587,Pennsylvania,0.002037,Nevada,0.022403,New Jersey,0.01222,New Mexico,0.04277,New York,0.03666,North Carolina,0.002037,North Dakota,0.063136,Ohio,0.01222,Oklahoma,0.008147,Oregon,0.022403,South Carolina,0.02444,Missouri,0.002037,South Dakota,0.034623,Tennessee,0.10387,Texas,0.004073,Vermont,0.02444,Virginia,0.032587,Washington,0.00611,West Virginia,0.022403,Wisconsin,0.002037,Wyoming,0.00611,Nebraska,0.01833,Mississippi,0.004073,Alaska,0.00611,Idaho,0.01833,Arizona,0.010183,Arkansas,0.057026,California,0.014257,Colorado,0.022403,Connecticut,0.002037,Delaware,0.00611,"Washington, District of Columbia",0.057026,Florida,0.026477,Georgia,0.03666,Illinois,0.016293,Minnesota,0.03055,Indiana,0.004073,Iowa,0.010183,Kansas,0.02444,Kentucky,0.022403,Louisiana,0.002037,Maine,0.01222,Maryland,0.022403,Massachusetts,0.03666,Michigan,0.002037,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-16T12:17:50+0000,Goods For Glory,0,99,0,999,0.055556,California,0.027778,North Dakota,0.027778,Washington,0.083333,Virginia,0.166667,Texas,0.083333,Tennessee,0.027778,Pennsylvania,0.083333,Oklahoma,0.027778,Ohio,0.055556,North Carolina,0.027778,Georgia,0.027778,New York,0.027778,New Mexico,0.027778,New Jersey,0.055556,Missouri,0.055556,Massachusetts,0.055556,Indiana,0.027778,Illinois,0.055556,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-16T11:56:19+0000,Goods For Glory,0,99,0,999,0.031746,Alabama,0.079365,Minnesota,0.015873,West Virginia,0.015873,Washington,0.031746,Virginia,0.063492,Texas,0.015873,Pennsylvania,0.031746,Oklahoma,0.047619,Ohio,0.063492,North Carolina,0.015873,Nevada,0.015873,Missouri,0.015873,Mississippi,0.063492,Michigan,0.015873,Alaska,0.063492,Massachusetts,0.063492,Maryland,0.063492,Kentucky,0.015873,Iowa,0.015873,Illinois,0.031746,Georgia,0.047619,Florida,0.015873,"Washington, District of Columbia",0.031746,Colorado,0.047619,California,0.015873,Arkansas,0.015873,Arizona,0.047619,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-16T03:25:48+0000,Goods For Glory,0,99,0,999,0.024096,Alaska,0.012048,Oklahoma,0.084337,Texas,0.096386,North Carolina,0.048193,Kentucky,0.024096,Georgia,0.048193,Florida,0.096386,California,0.048193,Alabama,0.036145,Wisconsin,0.036145,Washington,0.012048,Utah,0.012048,Tennessee,0.012048,South Dakota,0.024096,Pennsylvania,0.012048,Ohio,0.012048,Arizona,0.036145,New York,0.024096,New Mexico,0.024096,New Jersey,0.024096,Nebraska,0.012048,Montana,0.024096,Missouri,0.012048,Massachusetts,0.024096,Louisiana,0.012048,Kansas,0.036145,Iowa,0.024096,Indiana,0.036145,Illinois,0.012048,Hawaii,0.024096,Arkansas,0.036145,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-16T02:55:26+0000,Goods For Glory,0,99,0,999,0.030303,Alabama,0.106061,California,0.075758,Virginia,0.015152,Pennsylvania,0.030303,Oklahoma,0.030303,North Carolina,0.045455,New Jersey,0.015152,Missouri,0.030303,Louisiana,0.015152,Kentucky,0.015152,Iowa,0.045455,Indiana,0.030303,Georgia,0.075758,Florida,0.030303,"Washington, District of Columbia",0.015152,West Virginia,0.045455,Arkansas,0.015152,Washington,0.015152,Utah,0.015152,Tennessee,0.015152,South Carolina,0.015152,Ohio,0.075758,New York,0.015152,New Mexico,0.045455,Minnesota,0.015152,Michigan,0.015152,Maryland,0.015152,Maine,0.015152,Kansas,0.030303,Illinois,0.015152,Colorado,0.030303,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-16T02:48:58+0000,Goods For Glory,0,99,0,999,0.125,California,0.125,Connecticut,0.125,Florida,0.125,Georgia,0.125,Indiana,0.125,Louisiana,0.125,Minnesota,0.125,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These kinds of stories say one thing: in our society, survivors don't matter. And that attitude is exemplified by the actions Georgia Tech's next president, Angel Cabrera, by his decision to hire Brett Kavanaugh as a professor even after survivors of sexual assault expressed their discomfort and outrage. https://www.buzzfeednews.com/article/tasneemnashrulla/new-jersey-judge-teen-accused-rape-good-family?origin=btm-fd",2019-07-15T16:46:32+0000,Margaret Murphy,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hate cannot drive out hate; only love can do that."" - MLK Jr.❤️🌎💪

In Response To The Outrage Over Our Latest Designs, We Are  Donating 20% Of Every Purchase To Support and Aid The Children That Are Being Detained At Our Southern Border❤️🇺🇸

See All Of Our ""Despicable"" Designs Here: GoodsForGlory.com",2019-07-15T01:32:35+0000,Goods For Glory,0,99,0,999,0.027823,Alabama,0.040917,Pennsylvania,0.001637,New Hampshire,0.013093,New Jersey,0.018003,New Mexico,0.050736,New York,0.0491,North Carolina,0.00491,North Dakota,0.02946,Ohio,0.01473,Oklahoma,0.006547,Oregon,0.022913,South Carolina,0.008183,Nebraska,0.003273,South Dakota,0.042553,Tennessee,0.091653,Texas,0.003273,Utah,0.001637,Vermont,0.03928,Virginia,0.027823,Washington,0.018003,West Virginia,0.01964,Wisconsin,0.006547,Nevada,0.001637,Montana,0.006547,Alaska,0.003273,Idaho,0.02455,Arizona,0.011457,Arkansas,0.055646,California,0.016367,Colorado,0.006547,Connecticut,0.001637,Delaware,0.00491,"Washington, District of Columbia",0.040917,Florida,0.031097,Georgia,0.047463,Illinois,0.026187,Missouri,0.026187,Indiana,0.01473,Iowa,0.003273,Kansas,0.027823,Kentucky,0.011457,Louisiana,0.016367,Maryland,0.021277,Massachusetts,0.03437,Michigan,0.01473,Minnesota,0.008183,Mississippi,0.001637,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*NBC/ABC Emotional Expert Meets Political Firestorm* It’s 2019, the political divide has never been greater, and you’re exhausted. Don’t let yourself settle for helplessness, exhaustion or doomed relationships. Let Altomare empower you to find personal peace and address our national challenges with clear eyes and a heart full of love.

After just a few pages, you will immediately feel more empowered, hopeful and at peace. ***** 5 star reviews on Amazon

""Being outraged simply isn't enough. This book offers helpful tools for transforming outrage into action."" -Van Jones, CNN, host of The Van Jones show

""I have never had a self help book help me so much, so easily."" Jackie C.

""Diane takes us from outraged and exhausted to productive and hopeful."" T.G.

""Spoke to my soul and gives me hope."" Ione L.

""If you only read one book this year, this is the one to read."" Erin R.

""Diane's book helps to wake us up from the fighting and leads us to being inspiring instead."" Kelly L.",2019-07-14T17:03:25+0000,Diane Altomare,0,99,1000,4999,0.003327,"Washington, District of Columbia",0.04857,Texas,0.045908,New York,0.037259,North Carolina,0.042582,Ohio,0.007319,Oklahoma,0.029275,Oregon,0.037259,Pennsylvania,0.007984,Rhode Island,0.015303,South Carolina,0.002661,South Dakota,0.015968,Tennessee,0.013307,Utah,0.009315,New Hampshire,0.006653,Vermont,0.015303,Virginia,0.036593,Washington,0.024617,Wisconsin,0.003327,Alaska,0.008649,Arkansas,0.001331,Delaware,0.005323,Idaho,0.007984,New Mexico,0.008649,West Virginia,0.021956,New Jersey,0.005988,Nevada,0.000665,North Dakota,0.011976,Iowa,0.007319,Alabama,0.023287,Arizona,0.09847,California,0.021956,Colorado,0.017299,Connecticut,0.044578,Florida,0.017299,Georgia,0.006653,Hawaii,0.037924,Illinois,0.020625,Indiana,0.016633,Kansas,0.00998,Nebraska,0.021956,Kentucky,0.00998,Louisiana,0.013307,Maine,0.016633,Maryland,0.041251,Massachusetts,0.045243,Michigan,0.018629,Minnesota,0.005988,Mississippi,0.021956,Missouri,0.005988,Montana,0.001996,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This week we talk with Norwegian singer-songwriter Aurora about how to live with grief and joy in a time of climate change. It's a lovely episode. Listen now! https://tinyurl.com/outrage-optimism,2019-07-13T21:02:03+0000,Global Optimism,100,499,50000,99999,0.008616,Alabama,0.033353,Pennsylvania,0.010585,Nevada,0.004934,New Hampshire,0.02117,New Jersey,0.007597,New Mexico,0.059434,New York,0.026428,North Carolina,0.002525,North Dakota,0.029995,Ohio,0.010631,Oklahoma,0.02659,Oregon,0.006323,Rhode Island,0.004795,Montana,0.008663,South Carolina,0.001876,South Dakota,0.01765,Tennessee,0.078056,Texas,0.011651,Utah,0.003636,Vermont,0.021749,Virginia,0.030806,Washington,0.0041,West Virginia,0.01626,Wisconsin,0.005026,Nebraska,0.015472,Missouri,0.014106,Alaska,0.005837,Idaho,0.022884,Arizona,0.006833,Arkansas,0.142632,California,0.041669,Colorado,0.010191,Connecticut,0.002131,Delaware,0.002826,"Washington, District of Columbia",0.063835,Florida,0.026683,Georgia,0.006323,Hawaii,0.032751,Illinois,0.004447,Mississippi,0.016306,Indiana,0.005628,Iowa,0.00637,Kansas,0.01179,Kentucky,0.009311,Louisiana,0.006439,Maine,0.013365,Maryland,0.024807,Massachusetts,0.03018,Michigan,0.023069,Minnesota,0.001668,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If only #mikepence could muster up the same outrage over kids in cages as he does for kneeling football players! #fakechristian. 
Exodus 22:21
21 “Do not mistreat or oppress a foreigner, for you were foreigners in Egypt.",2019-07-13T19:35:57+0000,Divided We Stand News,0,99,0,999,0.170115,Alabama,0.422989,California,0.045977,Connecticut,0.167816,Kentucky,0.193103,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am appalled at the remarks and behavior of Megan Rapinoe. Read my latest blog on this important topic. 
//
""If the captain of USWST were a Christian, would she be allowed to waive a Christian flag and parade around with a Bible? We can’t begin to imagine the outrage from the liberal media…but Rapinoe can proudly say, 'You can't win a championship without gays on your team. It's never been done before. That's science right there…go gays!'""

Share –> www.sharonyerby.com/blog/2019/7/12/missed-goal",2019-07-13T15:34:12+0000,Sharon Yerby,0,99,5000,9999,0.00031,"Washington, District of Columbia",0.045539,Pennsylvania,0.008209,Nevada,0.004182,New Hampshire,0.01425,New Jersey,0.009449,New Mexico,0.034232,New York,0.042906,North Carolina,0.002788,North Dakota,0.039343,Ohio,0.020601,Oklahoma,0.013631,Oregon,0.002014,Rhode Island,0.005421,Montana,0.024783,South Carolina,0.003408,South Dakota,0.036865,Tennessee,0.085347,Texas,0.005731,Utah,0.001549,Vermont,0.026177,Virginia,0.016574,Washington,0.018742,West Virginia,0.015954,Wisconsin,0.009758,Nebraska,0.028036,Missouri,0.028501,Alabama,0.006815,Idaho,0.004492,Alaska,0.023234,Arizona,0.020446,Arkansas,0.050496,California,0.009913,Colorado,0.006196,Connecticut,0.003717,Delaware,0.059634,Florida,0.032528,Georgia,0.002478,Hawaii,0.02912,Illinois,0.015799,Mississippi,0.025713,Indiana,0.010068,Iowa,0.017193,Kansas,0.031134,Kentucky,0.026022,Louisiana,0.007435,Maine,0.010998,Maryland,0.009758,Massachusetts,0.039498,Michigan,0.010068,Minnesota,0.002943,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This week we talk with Norwegian singer-songwriter Aurora about how to live with grief and joy in a time of climate change. It's a lovely episode. Listen now! https://tinyurl.com/outrage-optimism,2019-07-12T17:24:06+0000,Global Optimism,0,99,1000,4999,0.012964,Alabama,0.038014,Pennsylvania,0.010547,Nevada,0.004395,New Hampshire,0.023731,New Jersey,0.007031,New Mexico,0.043946,New York,0.036036,North Carolina,0.003296,North Dakota,0.033839,Ohio,0.012964,Oklahoma,0.025489,Oregon,0.006152,Rhode Island,0.003735,Montana,0.008789,South Carolina,0.001758,South Dakota,0.018897,Tennessee,0.074269,Texas,0.013404,Utah,0.002857,Vermont,0.026807,Virginia,0.032301,Washington,0.004395,West Virginia,0.013843,Wisconsin,0.005713,Nebraska,0.018238,Missouri,0.003735,Alaska,0.006152,Idaho,0.022852,Arizona,0.00835,Arkansas,0.158866,California,0.022413,Colorado,0.014722,Connecticut,0.003076,Delaware,0.002857,"Washington, District of Columbia",0.053615,Florida,0.027247,Georgia,0.006592,Hawaii,0.033839,Illinois,0.005713,Mississippi,0.017359,Indiana,0.006152,Iowa,0.007031,Kansas,0.01604,Kentucky,0.011646,Louisiana,0.00813,Maine,0.012305,Maryland,0.02439,Massachusetts,0.025928,Michigan,0.015381,Minnesota,0.002197,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Rapinoe is a hero. Congrats USWNT! Proceeds benefit Together Rising.,2019-07-12T03:10:23+0000,The Outrage,0,99,5000,9999,0.00066,Mississippi,0.039604,Texas,0.082178,New York,0.024422,North Carolina,0.00231,North Dakota,0.035974,Ohio,0.007591,Oklahoma,0.018482,Oregon,0.057096,Pennsylvania,0.00495,Rhode Island,0.00165,South Dakota,0.011881,Tennessee,0.00363,Vermont,0.025743,New Jersey,0.044224,Virginia,0.034323,Washington,0.021452,Wisconsin,0.00132,Wyoming,0.011551,Indiana,0.010891,Kentucky,0.006271,South Carolina,0.00429,Alabama,0.0033,Alaska,0.015182,Arizona,0.00429,New Mexico,0.005611,New Hampshire,0.007261,Louisiana,0.025083,Florida,0.00396,Montana,0.00429,Nevada,0.00363,Utah,0.00165,West Virginia,0.005281,Arkansas,0.10231,California,0.021782,Colorado,0.012541,Connecticut,0.00429,Delaware,0.109241,"Washington, District of Columbia",0.015842,Georgia,0.006271,Nebraska,0.0033,Idaho,0.035644,Illinois,0.006271,Iowa,0.006601,Kansas,0.0033,Maine,0.029043,Maryland,0.041914,Massachusetts,0.023432,Michigan,0.028713,Minnesota,0.014851,Missouri,0.00462,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Side residents are expressing outrage about two huge banners in their neighborhood that feature the likeness of a religious leader who has been arrested and charged with child rape and human trafficking.,2019-07-12T03:09:56+0000,Milwaukee Neighborhood News Service,0,99,1000,4999,1,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparel and community for the modern activist. Donating with EVERY. SINGLE. PURCHASE.,2019-07-12T02:57:34+0000,The Outrage,0,99,0,999,1,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official apparel partner of every progressive movement since 2016.,2019-07-12T02:57:34+0000,The Outrage,0,99,1000,4999,0.00855,Kentucky,0.026565,Washington,0.122443,New York,0.03145,Ohio,0.007634,Oklahoma,0.015573,Oregon,0.058015,Pennsylvania,0.00855,South Carolina,0.020458,Tennessee,0.038473,Texas,0.002748,Vermont,0.03145,Virginia,0.014351,Wisconsin,0.00458,Nebraska,0.002748,Alaska,0.02687,Florida,0.007939,Indiana,0.005191,Kansas,0.012824,Missouri,0.006718,Nevada,0.00458,New Hampshire,0.000611,New Mexico,0.021985,North Carolina,0.005191,Rhode Island,0.036947,New Jersey,0.001221,Mississippi,0.006107,Louisiana,0.111756,California,0.004275,Maine,0.003664,Montana,0.005496,Utah,0.001527,Wyoming,0.002443,Delaware,0.002443,North Dakota,0.000611,South Dakota,0.006718,Alabama,0.015878,Arizona,0.002748,Arkansas,0.024122,Colorado,0.023817,Minnesota,0.014962,Connecticut,0.075725,"Washington, District of Columbia",0.014962,Georgia,0.002748,Hawaii,0.002137,Idaho,0.042748,Illinois,0.006107,Iowa,0.030229,Maryland,0.054046,Massachusetts,0.018931,Michigan,0.002137,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A place to get work done & connect with interesting humans who care. Apply now!,2019-07-12T02:57:34+0000,The Outrage,0,99,10000,49999,0.000913,West Virginia,0.040306,Massachusetts,0.025348,Ohio,0.017241,Tennessee,0.045673,Texas,0.039507,Virginia,0.025006,Washington,0.012788,Arizona,0.004225,Arkansas,0.002626,Delaware,0.016214,Georgia,0.007879,Kentucky,0.004111,Oklahoma,0.024435,North Carolina,0.047271,Pennsylvania,0.008221,Indiana,0.005367,Iowa,0.012674,Missouri,0.003882,Nebraska,0.027632,New Jersey,0.016328,Oregon,0.00765,South Carolina,0.001713,South Dakota,0.005138,Utah,0.002055,North Dakota,0.149235,New York,0.001484,Alaska,0.000799,Mississippi,0.002626,Hawaii,0.022608,Colorado,0.029116,Florida,0.001827,Montana,0.001827,Idaho,0.005823,Kansas,0.006166,Louisiana,0.004339,Rhode Island,0.001028,Wyoming,0.001941,Maine,0.003654,Nevada,0.021466,Minnesota,0.003197,New Hampshire,0.002969,New Mexico,0.002055,Vermont,0.003996,Alabama,0.12697,California,0.010505,Connecticut,0.090774,"Washington, District of Columbia",0.042475,Illinois,0.031172,Maryland,0.018269,Michigan,0.009477,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
